Thời gian,Vật thể,Khoảng cách,GPS Lat,GPS Lng
2026-04-30 12:58:03,người,ở xa,0.0,0.0
2026-04-30 12:58:04,người,ở xa,0.0,0.0
2026-04-30 12:58:05,người,ở xa,0.0,0.0
2026-04-30 12:58:08,người,ở xa,0.0,0.0
2026-04-30 12:58:11,người,ở xa,0.0,0.0
2026-04-30 12:59:22,người,ở xa,0.0,0.0
2026-04-30 13:04:16,người,ở xa,0.0,0.0
2026-04-30 13:04:20,người,ở xa,0.0,0.0
2026-04-30 13:04:23,người,ở xa,0.0,0.0
2026-04-30 13:04:27,người,ở xa,0.0,0.0
2026-04-30 13:05:13,người,ở xa,0.0,0.0
2026-04-30 13:05:40,người,đang đến gần,0.0,0.0
2026-04-30 13:05:44,người,rất gần,0.0,0.0
2026-04-30 13:06:01,người,đang đến gần,0.0,0.0
2026-04-30 13:10:41,người,ở xa,0.0,0.0
2026-04-30 13:11:22,người,ở xa,0.0,0.0
2026-04-30 13:11:40,người,rất gần,0.0,0.0
2026-04-30 13:11:45,người,rất gần,0.0,0.0
2026-04-30 13:11:59,người,đang đến gần,0.0,0.0
2026-04-30 13:12:07,người,đang đến gần,0.0,0.0
2026-04-30 13:12:10,người,đang đến gần,0.0,0.0
2026-04-30 13:12:14,người,đang đến gần,0.0,0.0
2026-04-30 13:12:15,người,đang đến gần,0.0,0.0
2026-04-30 13:12:19,người,đang đến gần,0.0,0.0
2026-04-30 13:12:27,người,đang đến gần,0.0,0.0
2026-05-01 18:03:47,người,đang đến gần,0.0,0.0
2026-05-01 18:03:48,người,đang đến gần,0.0,0.0
2026-05-01 18:03:51,người,đang đến gần,0.0,0.0
2026-05-02 15:30:16,người,đang đến gần,0.0,0.0
2026-05-02 15:30:34,người,rất gần,0.0,0.0
2026-05-02 15:30:43,người,đang đến gần,0.0,0.0
2026-05-02 15:30:44,người,rất gần,0.0,0.0
2026-05-02 15:30:56,người,đang đến gần,0.0,0.0
2026-05-02 15:39:50,người,ở xa,0.0,0.0
2026-05-02 15:50:33,người,ở xa,0.0,0.0
2026-05-02 15:51:15,người,ở xa,0.0,0.0
2026-05-02 15:51:19,người,ở xa,0.0,0.0
2026-05-02 15:51:20,người,ở xa,0.0,0.0
2026-05-02 15:53:26,người,ở xa,0.0,0.0
2026-05-02 15:53:29,người,ở xa,0.0,0.0
2026-05-02 15:53:31,người,ở xa,0.0,0.0
2026-05-02 15:53:36,người,ở xa,0.0,0.0
2026-05-02 15:53:37,người,ở xa,0.0,0.0
2026-05-02 16:08:35,người,ở xa,0.0,0.0
2026-05-02 16:12:09,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:12:23,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:12:36,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:12:53,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:13:05,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:13:07,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:46:53,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:47:12,Cảnh báo mặt đường bất thường,-,0.0,0.0
2026-05-02 16:47:50,người,đang đến gần,0.0,0.0
2026-05-02 16:47:52,người,rất gần,0.0,0.0
2026-05-02 16:47:52,người,đang đến gần,0.0,0.0
2026-05-02 16:49:31,ghế,đang đến gần,0.0,0.0
2026-05-02 16:49:35,ghế,đang đến gần,0.0,0.0
2026-05-02 16:50:47,người,rất gần,0.0,0.0
2026-05-02 16:54:26,người,đang đến gần,0.0,0.0
2026-05-02 16:54:26,người,ở xa,0.0,0.0
2026-05-02 16:54:27,người,đang đến gần,0.0,0.0
2026-05-02 16:54:29,người,đang đến gần,0.0,0.0
2026-05-02 16:54:31,người,đang đến gần,0.0,0.0
2026-05-02 16:54:39,người,đang đến gần,0.0,0.0
2026-05-02 16:54:42,người,ở xa,0.0,0.0
2026-05-02 16:54:50,người,ở xa,0.0,0.0
2026-05-02 16:55:03,người,ở xa,0.0,0.0
2026-05-02 16:55:06,người,ở xa,0.0,0.0
2026-05-02 16:55:14,người,đang đến gần,0.0,0.0
2026-05-02 16:55:17,người,rất gần,0.0,0.0
2026-05-02 16:55:22,người,đang đến gần,0.0,0.0
2026-05-02 16:55:24,người,đang đến gần,0.0,0.0
2026-05-02 16:55:32,người,rất gần,0.0,0.0
2026-05-02 16:55:36,người,đang đến gần,0.0,0.0
2026-05-02 16:55:38,người,rất gần,0.0,0.0
2026-05-02 16:55:39,người,đang đến gần,0.0,0.0
2026-05-02 16:55:40,người,đang đến gần,0.0,0.0
2026-05-02 16:55:46,người,ở xa,0.0,0.0
2026-05-02 16:55:52,người,đang đến gần,0.0,0.0
2026-05-02 16:55:57,người,rất gần,0.0,0.0
2026-05-02 16:55:59,người,rất gần,0.0,0.0
2026-05-02 16:56:47,người,đang đến gần,0.0,0.0
2026-05-02 16:56:53,người,ở xa,0.0,0.0
2026-05-02 16:56:59,người,ở xa,0.0,0.0
2026-05-02 16:57:10,người,ở xa,0.0,0.0
2026-05-02 16:57:14,người,đang đến gần,0.0,0.0
2026-05-02 16:57:16,người,đang đến gần,0.0,0.0
2026-05-02 16:57:19,người,rất gần,0.0,0.0
2026-05-02 16:57:20,người,ở xa,0.0,0.0
2026-05-02 16:57:25,người,ở xa,0.0,0.0
2026-05-02 16:57:26,người,đang đến gần,0.0,0.0
2026-05-02 16:57:28,người,ở xa,0.0,0.0
